Step,Normal Vehicles,Autonomous Vehicles(Particles),Vehicle Type,Fitness,Travel Time,Interaction Score,Interaction Information,Global Best Fitness,Global Best Position
17,6,,car,,64.0,0,,,
17,7,,car,,56.0,0,,,
17,8,,car,,49.0,0,,,
17,,9,auto,0.023809523809523808,42.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 31.205472915723576
",,
18,0,,car,,108.0,0,,,
18,1,,car,,104.0,0,,,
18,10,,car,,51.0,0,,,
18,11,,car,,41.0,0,,,
18,,12,auto,-0.9615384615384616,26.0,-1,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (13),
 distance: 1.4265625042478147
",,
18,13,,car,,19.0,0,,,
18,,2,auto,0.01,100.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (8),
 distance: 37.939590414247725
",,
18,3,,car,,96.0,0,,,
18,4,,car,,90.0,0,,,
18,,5,auto,1.0119047619047619,84.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (10),
 distance: 12.724242065861409
Autonomous Vehicle 5 is too close to a Neighbor Normal Vehicle (8) in a different lane,
 distance: 8.460116760716781
Autonomous Vehicle 5 is blocked by Normal Vehicle 8,
 distance: 8.460116760716781
",,
18,6,,car,,78.0,0,,,
18,7,,car,,70.0,0,,,
18,8,,car,,63.0,0,,,
18,,9,auto,0.017857142857142856,56.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (6),
 distance: 11.553957506472145
",,
19,0,,car,,122.0,0,,,
19,1,,car,,118.0,0,,,
19,10,,car,,65.0,0,,,
19,11,,car,,55.0,0,,,
19,,12,auto,1.025,40.0,1,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (13),
 distance: 4.554527352160292
",,
19,13,,car,,33.0,0,,,
19,,2,auto,0.008771929824561403,114.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (10),
 distance: 26.275760004040166
",,
19,3,,car,,110.0,0,,,
19,4,,car,,104.0,0,,,
19,,5,auto,1.010204081632653,98.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (11),
 distance: 17.324272915711997
Autonomous Vehicle 5 is blocked by Normal Vehicle 10,
 distance: 24.43771389200131
",,
19,6,,car,,92.0,0,,,
19,7,,car,,84.0,0,,,
19,8,,car,,77.0,0,,,
19,,9,auto,0.014285714285714285,70.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 21.94395922366293
",,
20,0,,car,,137.0,0,,,
20,1,,car,,133.0,0,,,
20,10,,car,,80.0,0,,,
20,11,,car,,70.0,0,,,
20,,12,auto,0.01818181818181818,55.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (0),
 distance: 114.22110703989304
",,
20,13,,car,,48.0,0,,,
20,,2,auto,0.007751937984496124,129.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (13),
 distance: 60.822282629478835
Autonomous Vehicle 2 is blocked by Normal Vehicle 12,
 distance: 57.38384933083404
",,
20,3,,car,,125.0,0,,,
20,4,,car,,119.0,0,,,
20,,5,auto,1.008849557522124,113.0,1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (11),
 distance: 1.071595930791446
",,
20,6,,car,,107.0,0,,,
20,7,,car,,99.0,0,,,
20,8,,car,,92.0,0,,,
20,,9,auto,0.011764705882352941,85.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (6),
 distance: 9.122396702279019
Autonomous Vehicle 9 is blocked by Normal Vehicle 7,
 distance: 18.330988552046648
",,
21,0,,car,,151.0,0,,,
21,1,,car,,147.0,0,,,
21,10,,car,,94.0,0,,,
21,11,,car,,84.0,0,,,
21,,12,auto,0.014492753623188406,69.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (0),
 distance: 106.31016461324279
",,
21,13,,car,,62.0,0,,,
21,,2,auto,0.006993006993006993,143.0,0,"Autonomous Vehicle 2 is too close to a Neighbor Normal Vehicle (13) in a different lane,
 distance: 37.962159866635524
Autonomous Vehicle 2 is blocked by Normal Vehicle 13,
 distance: 37.962159866635524
",,
21,3,,car,,139.0,0,,,
21,4,,car,,133.0,0,,,
21,,5,auto,-0.9921259842519685,127.0,-1,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (13),
 distance: 3.1774065580372692
",,
21,6,,car,,121.0,0,,,
21,7,,car,,113.0,0,,,
21,8,,car,,106.0,0,,,
21,,9,auto,1.0101010101010102,99.0,1,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (7),
 distance: 11.943094481279871
",,
22,0,,car,,165.0,0,,,
22,1,,car,,161.0,0,,,
22,10,,car,,108.0,0,,,
22,11,,car,,98.0,0,,,
22,,12,auto,0.012048192771084338,83.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (0),
 distance: 98.60057327986156
",,
22,13,,car,,76.0,0,,,
22,,2,auto,1.0063694267515924,157.0,1,,,
22,3,,car,,153.0,0,,,
22,4,,car,,147.0,0,,,
22,,5,auto,0.0070921985815602835,141.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (12),
 distance: 42.77034768332449
",,
22,6,,car,,135.0,0,,,
22,7,,car,,127.0,0,,,
22,8,,car,,120.0,0,,,
22,,9,auto,0.008849557522123894,113.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (7),
 distance: 7.34405406994091
",,
23,0,,car,,179.0,0,,,
23,1,,car,,175.0,0,,,
23,10,,car,,122.0,0,,,
23,11,,car,,112.0,0,,,
23,,12,auto,0.010309278350515464,97.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (0),
 distance: 94.94936614887513
",,
23,13,,car,,90.0,0,,,
23,,2,auto,0.005847953216374269,171.0,0,,,
23,3,,car,,167.0,0,,,
23,4,,car,,161.0,0,,,
23,,5,auto,0.0064516129032258064,155.0,0,,,
23,6,,car,,149.0,0,,,
23,7,,car,,141.0,0,,,
23,8,,car,,134.0,0,,,
23,,9,auto,0.007874015748031496,127.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (7),
 distance: 1.483107443550665
",,
24,0,,car,,194.0,0,,,
24,1,,car,,190.0,0,,,
24,10,,car,,137.0,0,,,
24,11,,car,,127.0,0,,,
24,,12,auto,0.008928571428571428,112.0,0,,,
24,13,,car,,105.0,0,,,
24,,2,auto,0.005376344086021506,186.0,0,"Autonomous Vehicle 2 is blocked by Normal Vehicle 12,
 distance: 27.323685388439348
",,
24,3,,car,,182.0,0,,,
24,,5,auto,0.0058823529411764705,170.0,0,,,
24,6,,car,,164.0,0,,,
24,7,,car,,156.0,0,,,
24,8,,car,,149.0,0,,,
24,,9,auto,-0.9929577464788732,142.0,-1,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (5),
 distance: 30.590206457889906
",,
25,0,,car,,208.0,0,,,
25,1,,car,,204.0,0,,,
25,10,,car,,151.0,0,,,
25,11,,car,,141.0,0,,,
25,,12,auto,0.007936507936507936,126.0,0,,,
25,13,,car,,119.0,0,,,
25,,2,auto,0.005,200.0,0,"Autonomous Vehicle 2 is blocked by Normal Vehicle 12,
 distance: 36.522493780410905
",,
25,3,,car,,196.0,0,,,
25,,5,auto,0.005434782608695652,184.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (12),
 distance: 12.629736152903412
",,
25,6,,car,,178.0,0,,,
25,7,,car,,170.0,0,,,
25,8,,car,,163.0,0,,,
25,,9,auto,0.00641025641025641,156.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (13),
 distance: 13.085089677200997
",,
26,0,,car,,221.0,0,,,
26,1,,car,,217.0,0,,,
26,10,,car,,164.0,0,,,
26,11,,car,,154.0,0,,,
26,,12,auto,0.007194244604316547,139.0,0,,,
26,13,,car,,132.0,0,,,
26,,2,auto,0.004694835680751174,213.0,0,"Autonomous Vehicle 2 is blocked by Normal Vehicle 12,
 distance: 37.194206376702866
",,
26,3,,car,,209.0,0,,,
26,,5,auto,0.005076142131979695,197.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (12),
 distance: 13.77623287403648
",,
26,6,,car,,191.0,0,,,
26,7,,car,,183.0,0,,,
26,8,,car,,176.0,0,,,
26,,9,auto,0.005917159763313609,169.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (13),
 distance: 7.703723090073069
",,
27,0,,car,,234.0,0,,,
27,1,,car,,230.0,0,,,
27,10,,car,,177.0,0,,,
27,11,,car,,167.0,0,,,
27,,12,auto,0.006578947368421052,152.0,0,,,
27,13,,car,,145.0,0,,,
27,,2,auto,0.004424778761061947,226.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (12),
 distance: 14.915165138139656
",,
27,3,,car,,222.0,0,,,
27,,5,auto,0.004761904761904762,210.0,0,,,
27,6,,car,,204.0,0,,,
27,7,,car,,196.0,0,,,
27,8,,car,,189.0,0,,,
27,,9,auto,0.005494505494505495,182.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (5),
 distance: 30.590206457889906
",,
28,0,,car,,248.0,0,,,
28,1,,car,,244.0,0,,,
28,10,,car,,191.0,0,,,
28,11,,car,,181.0,0,,,
28,,12,auto,0.006024096385542169,166.0,0,,,
28,13,,car,,159.0,0,,,
28,,2,auto,0.004166666666666667,240.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (12),
 distance: 16.646953914744508
",,
28,3,,car,,236.0,0,,,
28,,5,auto,0.004464285714285714,224.0,0,"Autonomous Vehicle 5 is blocked by Normal Vehicle 12,
 distance: 38.59250000717513
",,
28,6,,car,,218.0,0,,,
28,7,,car,,210.0,0,,,
28,8,,car,,203.0,0,,,
28,,9,auto,0.00510204081632653,196.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 30.100670914919803
",,
29,0,,car,,261.0,0,,,
29,1,,car,,257.0,0,,,
29,10,,car,,204.0,0,,,
29,11,,car,,194.0,0,,,
29,,12,auto,0.00558659217877095,179.0,0,,,
29,,2,auto,0.003952569169960474,253.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (12),
 distance: 18.25504349302043
",,
29,3,,car,,249.0,0,,,
29,,5,auto,0.004219409282700422,237.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (0),
 distance: 19.974726020356066
Autonomous Vehicle 5 is blocked by Normal Vehicle 12,
 distance: 17.597314498029277
",,
29,6,,car,,231.0,0,,,
29,7,,car,,223.0,0,,,
29,8,,car,,216.0,0,,,
29,,9,auto,0.004784688995215311,209.0,0,"Autonomous Vehicle 9 is too close to the Following Normal Vehicle (2),
 distance: 42.78728016572149
",,
30,0,,car,,274.0,0,,,
30,1,,car,,270.0,0,,,
30,10,,car,,217.0,0,,,
30,11,,car,,207.0,0,,,
30,,12,auto,0.005208333333333333,192.0,0,"Autonomous Vehicle 12 is too close to the Following Normal Vehicle (3),
 distance: 75.6096781948453
",,
30,,2,auto,0.0037593984962406013,266.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (12),
 distance: 19.739433872967446
",,
30,3,,car,,262.0,0,,,
30,,5,auto,0.004,250.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (0),
 distance: 18.136564211144147
Autonomous Vehicle 5 is blocked by Normal Vehicle 12,
 distance: 18.638967634018083
",,
